Wed Jun  1 19:11:00 2022    hell/123.prof

         51934 function calls (51370 primitive calls) in 1.124 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/threading.py:335(notify)
       61    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        6    0.000    0.000    0.003    0.000 /opt/python/aiohttp/connector.py:806(_resolve_host)
       33    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:497(get_all)
       35    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/logging/__init__.py:1476(makeRecord)
        6    0.000    0.000    0.000    0.000 /opt/python/yarl/_url.py:145(__new__)
        7    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:139(__init__)
       18    0.000    0.000    0.008    0.000 /var/lang/lib/python3.7/unittest/mock.py:950(_get_child_mock)
       18    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:281(_set_attributes)
      379    0.000    0.000    0.000    0.000 /opt/python/pynamodb/indexes.py:168(<lambda>)
        3    0.000    0.000    0.110    0.037 /opt/python/pynamodb/connection/base.py:1187(query)
        7    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:207(_read_headers)
       14    0.000    0.000    0.816    0.058 /opt/python/config_file.py:62(wrapper)
        6    0.000    0.000    0.014    0.002 /opt/python/pynamodb_patch.py:120(_patched_convert_to_request_dict)
        3    0.000    0.000    0.326    0.109 /opt/python/botocore/signers.py:318(generate_presigned_url)
       14    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:364(urlparse)
       61    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/enum.py:531(__new__)
      123    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
       35    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/genericpath.py:121(_splitext)
       35    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/posixpath.py:121(splitext)
       27    0.000    0.000    0.001    0.000 /opt/python/pyasn1/codec/ber/decoder.py:107(valueDecoder)
       78    0.000    0.000    0.000    0.000 /opt/python/rsa/pem.py:36(_pem_lines)
      186    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:299(_get)
        3    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:622(_on_handshake_complete)
        7    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:434(__init__)
       28    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:564(get_content_type)
        6    0.000    0.000    0.002    0.000 /opt/python/aiohttp/resolver.py:28(resolve)
        5    0.000    0.000    0.001    0.000 /opt/python/pynamodb_patch.py:38(__init__)
        3    0.000    0.000    0.000    0.000 {method '_wrap_bio' of '_ssl._SSLContext' objects}
       12    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/threading.py:216(__init__)
       29    0.000    0.000    0.000    0.000 /opt/python/aiohttp/streams.py:235(feed_data)
       77    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:1111(_serialize_value)
        9    0.000    0.000    0.000    0.000 /opt/python/urllib3/util/url.py:274(_normalize_host)
        7    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/email/parser.py:59(parsestr)
       27    0.000    0.000    0.000    0.000 /opt/python/pyasn1/type/base.py:351(clone)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client.py:891(get)
       13    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1416(__exit__)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/uuid.py:121(__init__)
       49    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:423(__contains__)
        3    0.000    0.000    0.003    0.001 /opt/python/rsa/key.py:483(_load_pkcs1_der)
       30    0.000    0.000    0.000    0.000 /opt/python/pyasn1/type/base.py:51(__init__)
       27    0.000    0.000    0.000    0.000 /opt/python/pyasn1/type/base.py:262(__init__)
      158    0.000    0.000    0.013    0.000 /opt/python/botocore/model.py:163(_resolve_shape_ref)
       76    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:78(readline)
      117    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        7    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:101(push)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_reqrep.py:411(update_auto_headers)
        7    0.000    0.000    0.011    0.002 /opt/python/pynamodb_patch.py:148(mock_describe_table)
        7    0.000    0.000    0.000    0.000 /opt/python/urllib3/util/retry.py:162(__init__)
       20    0.000    0.000    0.000    0.000 /opt/python/aiohttp/helpers.py:646(__exit__)
     46/1    0.000    0.000    0.001    0.001 /opt/python/botocore/validate.py:168(_validate)
       14    0.000    0.000    0.000    0.000 /opt/python/botocore/auth.py:261(signed_headers)
        3    0.000    0.000    0.013    0.004 /opt/python/aiohttp/connector.py:407(_close)
       14    0.000    0.000    0.013    0.001 /opt/python/config_file.py:83(_should_update)
        7    0.000    0.000    0.002    0.000 /opt/python/botocore/awsrequest.py:85(_send_request)
       14    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/selectors.py:69(__getitem__)
        3    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/concurrent/futures/thread.py:176(_adjust_thread_count)
        9    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:866(create_connection)
      151    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 /opt/python/rsa/key.py:171(unblind)
       14    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
       28    0.000    0.000    0.000    0.000 /opt/python/aiohttp/streams.py:291(_wait)
       48    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:245(_is_magic)
       35    0.000    0.000    0.016    0.000 /var/lang/lib/python3.7/logging/__init__.py:1516(handle)
        7    0.000    0.000    0.148    0.021 /var/lang/lib/python3.7/http/client.py:1329(getresponse)
       63    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       12    0.000    0.000    0.000    0.000 {built-in method _asyncio.get_event_loop}
       10    0.000    0.000    0.000    0.000 /opt/python/botocore/hooks.py:499(_get_items)
        2    0.000    0.000    0.026    0.013 /opt/python/urllib3/util/connection.py:33(create_connection)
       36    0.000    0.000    0.000    0.000 /opt/python/urllib3/util/url.py:303(<listcomp>)
       14    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/functools.py:37(update_wrapper)
